year,country_iso_code,co2_including_luc,co2_including_luc_per_capita,co2_including_luc_growth_abs,cement_co2,cement_co2_per_capita,cumulative_cement_co2,coal_co2,coal_co2_per_capita,cumulative_coal_co2,flaring_co2,flaring_co2_per_capita,cumulative_flaring_co2,gas_co2,gas_co2_per_capita,cumulative_gas_co2,land_use_change_co2,land_use_change_co2_per_capita,cumulative_luc_co2,oil_co2,oil_co2_per_capita,cumulative_oil_co2,other_industry_co2,other_co2_per_capita,cumulative_other_co2
2000,AFG,0.864,0.044,-0.154,0.01,0.001,1.969,0.004,0,11.851,0.022,0.001,5.934,0.224,0.011,13.897,-0.183,-0.009,836.015,0.788,0.04,38.798,,,
2001,AFG,1.948,0.099,1.085,0.007,0,1.975,0.07,0.004,11.921,0.022,0.001,5.956,0.209,0.011,14.106,0.879,0.045,836.894,0.762,0.039,39.56,,,
2002,AFG,9.475,0.451,7.527,0.011,0.001,1.986,0.055,0.003,11.976,0,0,5.956,0.547,0.026,14.653,8.134,0.387,845.028,0.727,0.035,40.288,,,
2003,AFG,5.773,0.255,-3.702,0.01,0,1.996,0.092,0.004,12.068,0,0,5.956,0.466,0.021,15.12,4.214,0.186,849.242,0.992,0.044,41.279,,,
2004,AFG,3.692,0.157,-2.081,0.01,0,2.006,0.092,0.004,12.159,0,0,5.956,0.227,0.01,15.347,2.455,0.104,851.697,0.909,0.039,42.188,,,
2005,AFG,3.355,0.137,-0.337,0.006,0,2.012,0.106,0.004,12.266,0,0,5.956,0.33,0.014,15.677,1.466,0.06,853.162,1.447,0.059,43.635,,,
2006,AFG,3.442,0.135,0.087,0.012,0,2.024,0.161,0.006,12.427,0,0,5.956,0.329,0.013,16.006,1.282,0.05,854.445,1.657,0.065,45.292,,,
2007,AFG,3.716,0.143,0.274,0.012,0,2.036,0.747,0.029,13.174,0,0,5.956,0.308,0.012,16.314,0.916,0.035,855.361,1.733,0.067,47.025,,,
2008,AFG,5.061,0.191,1.345,0.015,0.001,2.051,1.078,0.041,14.252,0,0,5.956,0.297,0.011,16.611,0.806,0.031,856.167,2.864,0.108,49.889,,,
2009,AFG,7.051,0.257,1.991,0.013,0,2.064,1.514,0.055,15.766,0,0,5.956,0.271,0.01,16.882,0.66,0.024,856.826,4.594,0.168,54.483,,,
2010,AFG,8.878,0.315,1.826,0.015,0.001,2.079,2.246,0.08,18.012,0,0,5.956,0.271,0.01,17.153,0.513,0.018,857.339,5.833,0.207,60.316,,,
2011,AFG,12.278,0.42,3.4,0.015,0,2.093,4.181,0.143,22.193,0,0,5.956,0.308,0.011,17.461,0.44,0.015,857.779,7.335,0.251,67.651,,,
2012,AFG,10.475,0.344,-1.803,0.029,0.001,2.122,3.125,0.103,25.318,0,0,5.956,0.308,0.01,17.769,0.44,0.014,858.219,6.573,0.216,74.225,,,
2013,AFG,9.47,0.3,-1.005,0.036,0.001,2.158,3.327,0.105,28.645,0,0,5.956,0.297,0.009,18.065,0.22,0.007,858.439,5.591,0.177,79.816,,,
2014,AFG,9.28,0.284,-0.19,0.029,0.001,2.186,3.706,0.113,32.351,0,0,5.956,0.271,0.008,18.337,0.11,0.003,858.548,5.165,0.158,84.981,,,
2015,AFG,10.194,0.302,0.914,0.041,0.001,2.228,2.843,0.084,35.194,0,0,5.956,0.282,0.008,18.619,0.403,0.012,858.952,6.625,0.196,91.605,,,
2016,AFG,9.507,0.274,-0.687,0.076,0.002,2.304,2.879,0.083,38.073,0,0,5.956,0.319,0.009,18.937,0.44,0.013,859.391,5.794,0.167,97.399,,,
2017,AFG,10.234,0.287,0.727,0.045,0.001,2.349,3.448,0.097,41.521,0,0,5.956,0.3,0.008,19.238,0.366,0.01,859.758,6.075,0.17,103.474,,,
2018,AFG,11.148,0.304,0.913,0.057,0.002,2.405,3.847,0.105,45.368,0,0,5.956,0.293,0.008,19.531,0.33,0.009,860.087,6.621,0.18,110.095,,,
2019,AFG,11.411,0.302,0.264,0.038,0.001,2.444,3.955,0.105,49.323,0,0,5.956,0.246,0.007,19.777,0.33,0.009,860.417,6.843,0.181,116.938,,,
2020,AFG,12.012,0.308,0.6,0.061,0.002,2.504,4.15,0.106,53.473,0,0,5.956,0.251,0.006,20.028,0.33,0.008,860.747,7.22,0.185,124.158,,,
2021,AFG,12.241,0.305,0.229,0.012,0,2.517,4.204,0.105,57.676,0,0,5.956,0.239,0.006,20.267,0.366,0.009,861.113,7.42,0.185,131.577,,,
2000,ALA,,,,,,,,,,,,,,,,-0.037,,5.569,,,,,,
2001,ALA,,,,,,,,,,,,,,,,-0.037,,5.533,,,,,,
2002,ALA,,,,,,,,,,,,,,,,-0.037,,5.496,,,,,,
2003,ALA,,,,,,,,,,,,,,,,-0.037,,5.459,,,,,,
2004,ALA,,,,,,,,,,,,,,,,0,,5.459,,,,,,
2005,ALA,,,,,,,,,,,,,,,,0,,5.459,,,,,,
2006,ALA,,,,,,,,,,,,,,,,0,,5.459,,,,,,
2007,ALA,,,,,,,,,,,,,,,,-0.037,,5.423,,,,,,
2008,ALA,,,,,,,,,,,,,,,,0,,5.423,,,,,,
2009,ALA,,,,,,,,,,,,,,,,-0.037,,5.386,,,,,,
2010,ALA,,,,,,,,,,,,,,,,-0.037,,5.349,,,,,,
2011,ALA,,,,,,,,,,,,,,,,-0.037,,5.313,,,,,,
2012,ALA,,,,,,,,,,,,,,,,-0.037,,5.276,,,,,,
2013,ALA,,,,,,,,,,,,,,,,0,,5.276,,,,,,
2014,ALA,,,,,,,,,,,,,,,,0,,5.276,,,,,,
2015,ALA,,,,,,,,,,,,,,,,0,,5.276,,,,,,
2016,ALA,,,,,,,,,,,,,,,,0,,5.276,,,,,,
2017,ALA,,,,,,,,,,,,,,,,0,,5.276,,,,,,
2018,ALA,,,,,,,,,,,,,,,,0,,5.276,,,,,,
2019,ALA,,,,,,,,,,,,,,,,0,,5.276,,,,,,
2020,ALA,,,,,,,,,,,,,,,,0,,5.276,,,,,,
2021,ALA,,,,,,,,,,,,,,,,0,,5.276,,,,,,
2000,ALB,2.732,0.859,0.039,0.094,0.029,9.669,0.07,0.022,60.235,0,0,0,0.022,0.007,15.367,-0.293,-0.092,440.34,2.84,0.892,111.771,,,
2001,ALB,2.964,0.94,0.232,0,0,9.669,0.081,0.026,60.316,0,0,0,0.015,0.005,15.382,-0.256,-0.081,440.083,3.125,0.991,114.896,,,
2002,ALB,3.345,1.071,0.381,0,0,9.669,0.084,0.027,60.4,0,0,0,0.026,0.008,15.407,-0.403,-0.129,439.68,3.638,1.165,118.535,,,
2003,ALB,4.34,1.403,0.995,0.302,0.098,9.971,0.084,0.027,60.484,0,0,0,0.026,0.008,15.433,0.037,0.012,439.717,3.891,1.258,122.426,,,
2004,ALB,3.481,1.136,-0.86,0.3,0.098,10.272,0.084,0.028,60.568,0,0,0,0.033,0.011,15.466,-0.696,-0.227,439.02,3.759,1.227,126.185,,,
2005,ALB,6.68,2.203,3.199,0.256,0.085,10.528,0.073,0.024,60.642,0,0,0,0.022,0.007,15.488,2.418,0.797,441.439,3.91,1.289,130.095,,,
2006,ALB,4.24,1.412,-2.439,0.276,0.092,10.804,0.073,0.024,60.715,0,0,0,0.022,0.007,15.51,0.33,0.11,441.768,3.54,1.179,133.634,,,
2007,ALB,6.77,2.275,2.53,0.468,0.157,11.272,0.073,0.025,60.788,0,0,0,0.033,0.011,15.543,2.821,0.948,444.59,3.375,1.134,137.009,,,
2008,ALB,6.522,2.21,-0.248,0.484,0.164,11.756,0.103,0.035,60.891,0,0,0,0.015,0.005,15.558,2.125,0.72,446.715,3.796,1.286,140.805,,,
2009,ALB,5.579,1.904,-0.943,0.585,0.2,12.341,0.388,0.133,61.279,0,0,0,0.018,0.006,15.576,1.172,0.4,447.887,3.415,1.165,144.22,,,
2010,ALB,5.443,1.868,-0.136,0.838,0.288,13.178,0.429,0.147,61.708,0,0,0,0.026,0.009,15.602,0.66,0.226,448.547,3.492,1.199,147.712,,,
2011,ALB,6.231,2.148,0.787,0.976,0.337,14.155,0.535,0.184,62.243,0,0,0,0.029,0.01,15.631,0.916,0.316,449.463,3.774,1.301,151.486,,,
2012,ALB,5.693,1.968,-0.538,1.039,0.359,15.194,0.627,0.217,62.869,0,0,0,0.029,0.01,15.66,0.843,0.291,450.306,3.155,1.091,154.641,,,
2013,ALB,5.837,2.022,0.144,1.129,0.391,16.323,0.795,0.275,63.664,0,0,0,0.033,0.011,15.693,0.55,0.19,450.855,3.331,1.154,157.971,,,
2014,ALB,6.696,2.322,0.859,1.045,0.362,17.368,1.029,0.357,64.693,0.012,0.004,0.012,0.059,0.02,15.752,0.696,0.241,451.551,3.856,1.337,161.827,,,
2015,ALB,5.885,2.042,-0.811,0.954,0.331,18.322,0.322,0.112,65.016,0.035,0.012,0.047,0.062,0.022,15.814,1.172,0.407,452.724,3.338,1.158,165.165,,,
2016,ALB,5.145,1.786,-0.74,0.88,0.306,19.202,0.191,0.066,65.206,0.04,0.014,0.087,0.161,0.056,15.975,0.513,0.178,453.237,3.36,1.166,168.525,,,
2017,ALB,6.04,2.098,0.896,1.011,0.351,20.214,0.275,0.095,65.481,0.031,0.011,0.118,0.168,0.058,16.144,0.476,0.165,453.713,4.079,1.417,172.603,,,
2018,ALB,5.314,1.847,-0.727,1.017,0.353,21.231,0.473,0.164,65.953,0.014,0.005,0.132,0.15,0.052,16.294,0.33,0.115,454.043,3.331,1.158,175.934,,,
2019,ALB,5.167,1.798,-0.146,1.048,0.365,22.279,0.322,0.112,66.276,0.004,0.002,0.136,0.132,0.046,16.426,0.22,0.076,454.263,3.44,1.197,179.375,,,
2020,ALB,4.802,1.675,-0.365,1.048,0.366,23.327,0.331,0.116,66.607,0,0,0.136,0.131,0.046,16.557,0.073,0.026,454.336,3.218,1.122,182.592,,,
2021,ALB,4.582,1.605,-0.219,1.048,0.367,24.375,0.174,0.061,66.782,0,0,0.136,0.15,0.053,16.707,-0.037,-0.013,454.299,3.246,1.137,185.838,,,
2000,DZA,87.277,2.836,-7.579,3.789,0.123,78.05,1.96,0.064,84.958,11.109,0.361,441.168,38.534,1.252,800.874,5.056,0.164,1156.945,26.828,0.872,708.332,,,
2001,DZA,89.386,2.865,2.109,3.766,0.121,81.816,2.096,0.067,87.054,8.431,0.27,449.598,41.029,1.315,841.904,5.606,0.18,1162.551,28.458,0.912,736.79,,,
2002,DZA,96.075,3.038,6.689,4.058,0.128,85.874,2.609,0.082,89.663,8.592,0.272,458.191,44.653,1.412,886.557,6.668,0.211,1169.219,29.495,0.933,766.286,,,
2003,DZA,99.146,3.093,3.07,4.032,0.126,89.906,2.788,0.087,92.451,8.259,0.258,466.449,44.027,1.373,930.583,8.097,0.253,1177.317,31.943,0.996,798.228,,,
