country_iso_code,year,temperature_change
AFG,2000,0.993
AFG,2001,1.311
AFG,2002,1.365
AFG,2003,0.587
AFG,2004,1.373
AFG,2005,0.401
AFG,2006,1.72
AFG,2007,0.675
AFG,2008,0.704
AFG,2009,0.895
AFG,2010,1.613
AFG,2011,1.397
AFG,2012,0.223
AFG,2013,1.281
AFG,2014,0.456
AFG,2015,1.093
AFG,2016,1.555
AFG,2017,1.54
AFG,2018,1.544
AFG,2019,0.91
AFG,2020,0.498
AFG,2021,1.327
AFG,2022,2.012
ALB,2000,1.065
ALB,2001,1.532
ALB,2002,0.492
ALB,2003,0.97
ALB,2004,0.444
ALB,2005,0.189
ALB,2006,0.345
ALB,2007,1.316
ALB,2008,0.978
ALB,2009,0.91
ALB,2010,1.191
ALB,2011,1.055
ALB,2012,1.487
ALB,2013,1.333
ALB,2014,1.198
ALB,2015,1.569
ALB,2016,1.464
ALB,2017,1.121
ALB,2018,2.028
ALB,2019,1.675
ALB,2020,1.498
ALB,2021,1.536
ALB,2022,1.518
DZA,2000,0.82
DZA,2001,1.856
DZA,2002,1.258
DZA,2003,1.585
DZA,2004,0.988
DZA,2005,1.264
DZA,2006,1.395
DZA,2007,1.22
DZA,2008,1.185
DZA,2009,0.945
DZA,2010,2.265
DZA,2011,1.398
DZA,2012,1.147
DZA,2013,1.192
DZA,2014,1.69
DZA,2015,1.121
DZA,2016,1.757
DZA,2017,1.512
DZA,2018,1.21
DZA,2019,1.115
DZA,2020,1.926
DZA,2021,2.33
DZA,2022,1.688
ASM,2000,0.626
ASM,2001,0.904
ASM,2002,1.152
ASM,2003,0.716
ASM,2004,0.191
ASM,2005,0.801
ASM,2006,0.403
ASM,2007,1.032
ASM,2008,0.67
ASM,2009,
ASM,2010,1.311
ASM,2011,0.854
ASM,2012,0.924
ASM,2013,1.257
ASM,2014,1.17
ASM,2015,1.009
ASM,2016,1.539
ASM,2017,1.435
ASM,2018,1.189
ASM,2019,1.539
ASM,2020,1.43
ASM,2021,1.268
ASM,2022,1.256
AND,2000,1.05
AND,2001,1.48
AND,2002,0.835
AND,2003,1.949
AND,2004,0.936
AND,2005,0.851
AND,2006,1.485
AND,2007,1.024
AND,2008,0.946
AND,2009,1.413
AND,2010,0.471
AND,2011,1.677
AND,2012,1.265
AND,2013,0.831
AND,2014,1.946
AND,2015,1.69
AND,2016,1.99
AND,2017,1.925
AND,2018,1.919
AND,2019,1.964
AND,2020,2.562
AND,2021,1.533
AND,2022,3.243
AGO,2000,0.169
AGO,2001,0.295
AGO,2002,0.735
AGO,2003,0.889
AGO,2004,0.414
AGO,2005,1.021
AGO,2006,0.561
AGO,2007,0.885
AGO,2008,0.501
AGO,2009,0.708
AGO,2010,1.194
AGO,2011,0.88
AGO,2012,0.552
AGO,2013,1.044
AGO,2014,0.828
AGO,2015,1.331
AGO,2016,1.609
AGO,2017,0.87
AGO,2018,1.395
AGO,2019,1.752
AGO,2020,1.162
AGO,2021,1.553
AGO,2022,1.212
AIA,2000,0.264
AIA,2001,0.587
AIA,2002,0.706
AIA,2003,0.816
AIA,2004,0.521
AIA,2005,0.828
AIA,2006,0.691
AIA,2007,0.957
AIA,2008,0.411
AIA,2009,0.566
AIA,2010,1.09
AIA,2011,0.489
AIA,2012,0.64
AIA,2013,0.77
AIA,2014,0.814
AIA,2015,1.051
AIA,2016,1.125
AIA,2017,0.96
AIA,2018,0.664
AIA,2019,0.843
AIA,2020,1.224
AIA,2021,0.893
AIA,2022,0.839
ATG,2000,0.335
ATG,2001,
ATG,2002,0.634
ATG,2003,0.783
ATG,2004,0.501
ATG,2005,0.843
ATG,2006,0.659
ATG,2007,0.934
ATG,2008,0.394
ATG,2009,0.498
ATG,2010,1.153
ATG,2011,0.586
ATG,2012,0.696
ATG,2013,0.783
ATG,2014,0.744
ATG,2015,1.035
ATG,2016,1.097
ATG,2017,0.958
ATG,2018,0.627
ATG,2019,0.797
ATG,2020,1.131
ATG,2021,0.862
ATG,2022,0.77
ARG,2000,-0.186
ARG,2001,0.425
ARG,2002,0.278
ARG,2003,0.635
ARG,2004,0.47
ARG,2005,0.281
ARG,2006,0.596
ARG,2007,-0.169
ARG,2008,0.601
ARG,2009,0.857
ARG,2010,0.135
ARG,2011,0.386
ARG,2012,0.798
ARG,2013,0.442
ARG,2014,0.951
ARG,2015,0.957
ARG,2016,0.488
ARG,2017,1.095
ARG,2018,0.878
ARG,2019,0.76
ARG,2020,1.123
ARG,2021,1.031
ARG,2022,0.643
ARM,2000,1.031
ARM,2001,1.395
ARM,2002,1.194
ARM,2003,0.141
ARM,2004,1.162
ARM,2005,0.48
ARM,2006,1.621
ARM,2007,0.706
ARM,2008,0.861
ARM,2009,0.706
ARM,2010,2.775
ARM,2011,0.65
ARM,2012,1.247
ARM,2013,1.407
ARM,2014,1.283
ARM,2015,1.931
ARM,2016,1.356
ARM,2017,0.889
ARM,2018,2.772
ARM,2019,1.859
ARM,2020,1.954
ARM,2021,2.087
ARM,2022,1.707
ABW,2000,
ABW,2001,
ABW,2002,
ABW,2003,1.067
ABW,2004,0.661
ABW,2005,0.836
ABW,2006,0.51
ABW,2007,0.935
ABW,2008,
ABW,2009,
ABW,2010,1.309
ABW,2011,0.509
ABW,2012,0.58
ABW,2013,1.094
ABW,2014,0.986
ABW,2015,1.149
ABW,2016,
ABW,2017,1.303
ABW,2018,0.698
ABW,2019,1.007
ABW,2020,1.281
ABW,2021,
ABW,2022,
AUS,2000,0.148
AUS,2001,0.336
AUS,2002,0.736
AUS,2003,0.835
AUS,2004,0.723
AUS,2005,1.211
AUS,2006,0.721
AUS,2007,0.929
AUS,2008,0.625
AUS,2009,1.03
AUS,2010,0.673
AUS,2011,0.208
AUS,2012,0.308
AUS,2013,1.499
AUS,2014,1.198
AUS,2015,1.087
AUS,2016,1.172
AUS,2017,1.141
AUS,2018,1.129
AUS,2019,1.422
AUS,2020,1.416
AUS,2021,0.629
AUS,2022,0.754
AUT,2000,1.769
AUT,2001,1.501
AUT,2002,1.531
AUT,2003,1.464
AUT,2004,0.829
AUT,2005,0.628
AUT,2006,0.907
AUT,2007,2.137
AUT,2008,1.582
AUT,2009,1.544
AUT,2010,0.656
AUT,2011,1.373
AUT,2012,1.783
AUT,2013,1.098
AUT,2014,2.409
AUT,2015,2.167
AUT,2016,2.096
AUT,2017,1.741
AUT,2018,2.524
AUT,2019,2.37
AUT,2020,2.315
AUT,2021,1.395
AUT,2022,2.498
AZE,2000,1.098
AZE,2001,1.401
AZE,2002,1.432
AZE,2003,-0.147
AZE,2004,1.303
AZE,2005,0.814
AZE,2006,1.488
AZE,2007,0.958
AZE,2008,0.883
AZE,2009,0.78
AZE,2010,2.327
AZE,2011,0.766
AZE,2012,1.474
AZE,2013,1.574
AZE,2014,1.252
AZE,2015,1.672
AZE,2016,1.53
AZE,2017,1.308
AZE,2018,2.24
AZE,2019,1.997
AZE,2020,2.015
AZE,2021,2.061
AZE,2022,2.08
BHS,2000,0.163
BHS,2001,0.135
BHS,2002,0.856
BHS,2003,0.989
BHS,2004,0.311
BHS,2005,0.455
BHS,2006,0.385
BHS,2007,0.937
BHS,2008,0.842
BHS,2009,0.41
BHS,2010,0.314
BHS,2011,0.363
BHS,2012,0.344
BHS,2013,0.565
BHS,2014,0.883
BHS,2015,1.114
BHS,2016,1.042
BHS,2017,1.331
BHS,2018,1.023
