week,week_ending,commit,era,adapter,group,platform,tests_passed,suite_tests,test_pass_pct,functions_supported,suite_functions,function_supported_pct,tests_reported,functions_reported
2025-W16,2025-04-16,30f342dc64,html,DuckDB,Store_Relational,compiled,384,663,57.92,107,157,68.15,663,157
2025-W16,2025-04-16,30f342dc64,html,H2,Store_Relational,compiled,340,663,51.28,103,157,65.61,663,157
2025-W16,2025-04-16,30f342dc64,html,Java,Platform,compiled,375,663,56.56,113,157,71.97,663,157
2025-W16,2025-04-16,30f342dc64,html,MemSQL,Store_Relational,compiled,252,663,38.01,90,157,57.32,663,157
2025-W16,2025-04-16,30f342dc64,html,Native (compiled),,compiled,660,663,99.55,157,157,100.0,663,157
2025-W16,2025-04-16,30f342dc64,html,Native (interpreted),,interpreted,455,663,68.63,108,157,68.79,455,108
2025-W16,2025-04-16,30f342dc64,html,Postgres,Store_Relational,compiled,349,663,52.64,105,157,66.88,663,157
2025-W16,2025-04-16,30f342dc64,html,Snowflake,Store_Relational,compiled,368,663,55.51,109,157,69.43,663,157
2025-W16,2025-04-16,30f342dc64,html,Spanner,Store_Relational,compiled,205,663,30.92,75,157,47.77,663,157
2025-W17,2025-04-23,52523fd605,html,DuckDB,Store_Relational,compiled,384,663,57.92,107,157,68.15,663,157
2025-W17,2025-04-23,52523fd605,html,H2,Store_Relational,compiled,340,663,51.28,103,157,65.61,663,157
2025-W17,2025-04-23,52523fd605,html,Java,Platform,compiled,375,663,56.56,113,157,71.97,663,157
2025-W17,2025-04-23,52523fd605,html,MemSQL,Store_Relational,compiled,239,663,36.05,87,157,55.41,663,157
2025-W17,2025-04-23,52523fd605,html,Native (compiled),,compiled,660,663,99.55,157,157,100.0,663,157
2025-W17,2025-04-23,52523fd605,html,Native (interpreted),,interpreted,455,663,68.63,108,157,68.79,455,108
2025-W17,2025-04-23,52523fd605,html,Postgres,Store_Relational,compiled,349,663,52.64,105,157,66.88,663,157
2025-W17,2025-04-23,52523fd605,html,Snowflake,Store_Relational,compiled,368,663,55.51,109,157,69.43,663,157
2025-W17,2025-04-23,52523fd605,html,Spanner,Store_Relational,compiled,205,663,30.92,75,157,47.77,663,157
2025-W18,2025-05-02,818c73821d,html,DuckDB,Store_Relational,compiled,393,678,57.96,110,160,68.75,678,160
2025-W18,2025-05-02,818c73821d,html,H2,Store_Relational,compiled,352,678,51.92,106,160,66.25,678,160
2025-W18,2025-05-02,818c73821d,html,Java,Platform,compiled,384,678,56.64,116,160,72.5,678,160
2025-W18,2025-05-02,818c73821d,html,MemSQL,Store_Relational,compiled,248,678,36.58,90,160,56.25,678,160
2025-W18,2025-05-02,818c73821d,html,Native (compiled),,compiled,675,678,99.56,160,160,100.0,678,160
